Sample,Method,Total_reads,Primary_percent,Properly_paired_percent,Unmapped_percent
8034,lowinput_P100,279801592,99.414,98,0.033
8035,lowinput_P100,262288363,96.686,88.2,3.55
8036,lowinput_P100,362196907,99.394,0,0.148
8038,lowinput_P100,361684689,99.587,98.7,0.037
8034,lowinput,244540822,98.177,97.1,0.038
8035,lowinput,197085385,90.15,83.9,5.485
8036,lowinput,245701144,97.713,96.6,0.033
8038,lowinput,242155648,99.2,98.5,0.034
8167,normalinput,246783951,97.28,96.4,0.04
8168,normalinput,242438807,99.056,97.5,0.033
