Sample	Method	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Q25_depth	Median_depth	Q75_depth	Min_depth	Max_depth
8036	lowinput	1	NC_060173.1	14.444756407812475	3.004017154385656	0.20796592684393952	13.2766	14.9276	15.8811	2.09274	51.6195
8036	lowinput	2	NC_060174.1	14.532115993084528	2.6752557296633466	0.1840926490633872	13.7092	15.0515	15.9251	1.96558	43.4816
8036	lowinput	3	NC_060175.1	15.020379702938506	7.951454602497641	0.5293777360995782	13.0104	14.8491	16.0054	0	143.862
8036	lowinput	4	NC_060176.1	14.827823738059603	6.194366497239099	0.4177529087656734	13.2075	14.9373	15.9716	0	157.151
8036	lowinput	5	NC_060177.1	13.964975195326764	4.8749021916563064	0.34908061944053026	12.1804	14.3891	15.6389	2.67202	91.1316
8036	lowinput	6	NC_060178.1	13.940826828435346	2.525067319772322	0.1811275149492495	13.0811	14.4582	15.3534	3.1853	35.2158
8036	lowinput	7	NC_060179.1	13.848477403153753	7.577637748334274	0.5471820134254324	12.0723	14.1089	15.1456	2.51885	202.983
8036	lowinput	8	NC_060180.1	14.436013396428688	4.476386289769005	0.3100846588904118	13.4949	14.6661	15.5882	3.16795	84.8256
8036	lowinput	9	NC_060181.1	13.776481221228371	9.530727316945192	0.6918114403741329	11.568	13.8397	15.1567	1.30643	224.114
8036	lowinput	10	NC_060182.1	13.766085249022575	6.490505125404698	0.4714851759228746	11.8771	14.0722	15.236	1.4346	139.468
8036	lowinput	11	NC_060183.1	14.102666871122782	8.24815812871634	0.5848651325378478	12.3482	14.1968	15.2774	2.94473	163.784
8036	lowinput	12	NC_060184.1	13.73523935958556	4.719186576921295	0.3435824053279323	12.3599	14.0681	15.0562	4.38736	100.331
8036	lowinput	13	NC_060185.1	12.995732273434408	3.231889356941818	0.24868851473251535	11.4333	13.3963	14.8408	2.06011	66.1744
8036	lowinput	14	NC_060186.1	13.565696308989315	6.085669990843062	0.44860727029620956	11.4362	13.8772	15.0972	3.51709	139.853
8036	lowinput	15	NC_060187.1	13.884142646122287	3.9393841290946603	0.2837326170942859	12.2729	14.2437	15.4531	2.85135	72.0125
8036	lowinput	16	NC_060188.1	14.572637944186935	6.6873807082754615	0.45889980481832227	13.0048	14.5807	15.491	1.76494	173.213
8036	lowinput	17	NC_060189.1	14.448237314226828	9.117713873504561	0.6310606391083132	12.6709	14.4044	15.4239	4.65424	165.098
8036	lowinput	18	NC_060190.1	14.841687802100349	10.678968614508145	0.7195252155214376	12.7113	14.6954	15.4914	2.55153	269.251
8036	lowinput	19	NC_060191.1	13.089442002160318	3.5119678923193676	0.2683053938998884	11.0793	13.4718	15.1008	2.41581	64.3425
8036	lowinput	20	NC_060192.1	13.083335379466806	2.593959622295011	0.1982643987225163	11.7367	13.7412	14.8041	3.35357	22.3509
8036	lowinput	21	NC_060193.1	13.286292305514982	4.382661693288272	0.3298634105369698	11.6419	13.912	15.0149	2.60553	80.5704
8036	lowinput	22	NC_060194.1	14.05947120619603	5.398747595172205	0.38399364499519506	12.4194	14.352	15.3635	3.11673	90.3279
8036	lowinput	23	NC_060195.1	13.147640387066305	6.4727927757602	0.49231592781680156	11.0426	13.3875	14.8252	2.6112	154.553
8036	lowinput	24	NC_060196.1	13.532622596865924	4.093046379020892	0.3024577349824873	11.666	13.6911	15.1629	3.32501	65.7417
8036	lowinput	25	NC_060197.1	13.65927491928383	5.498161975385391	0.40252224278927284	11.5783	13.7217	15.0663	3.42802	65.3201
8036	lowinput	26	NC_060198.1	15.257751855661969	6.78572916680051	0.44473977758934435	13.1899	14.8037	15.8643	5.22859	111.256
8036	lowinput	27	NC_060199.1	14.330758812598534	6.847927423308522	0.477848208378773	13.5642	13.9	14.8127	0.36084	45.1775
