Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8036	lowinput_P100	Genome-wide	NA	Genome-wide	13.2867	21.8566	1.645	0	13906
8036	lowinput_P100	Chromosome	1	NC_060173.1	13.7805	9.99799	0.725516	0	3330
8036	lowinput_P100	Chromosome	2	NC_060174.1	13.7962	11.1251	0.806388	0	3489
8036	lowinput_P100	Chromosome	3	NC_060175.1	14.3618	22.8012	1.58762	0	10542
8036	lowinput_P100	Chromosome	4	NC_060176.1	14.2168	14.1326	0.994074	0	3136
8036	lowinput_P100	Chromosome	5	NC_060177.1	13.5643	15.3147	1.12905	0	5403
8036	lowinput_P100	Chromosome	6	NC_060178.1	13.6573	9.76146	0.714742	0	2552
8036	lowinput_P100	Chromosome	7	NC_060179.1	13.8818	25.5706	1.84203	0	6565
8036	lowinput_P100	Chromosome	8	NC_060180.1	14.2266	16.0333	1.12699	0	7681
8036	lowinput_P100	Chromosome	9	NC_060181.1	13.7709	30.6156	2.2232	0	13906
8036	lowinput_P100	Chromosome	10	NC_060182.1	13.7634	20.4958	1.48916	0	7576
8036	lowinput_P100	Chromosome	11	NC_060183.1	14.0402	17.4223	1.24088	0	2156
8036	lowinput_P100	Chromosome	12	NC_060184.1	13.9525	17.8028	1.27596	0	3500
8036	lowinput_P100	Chromosome	13	NC_060185.1	13.1881	10.6338	0.806316	0	1985
8036	lowinput_P100	Chromosome	14	NC_060186.1	13.6869	17.747	1.29664	0	9211
8036	lowinput_P100	Chromosome	15	NC_060187.1	13.8752	16.7347	1.20609	0	3596
8036	lowinput_P100	Chromosome	16	NC_060188.1	14.4201	18.3437	1.2721	0	3521
8036	lowinput_P100	Chromosome	17	NC_060189.1	14.2766	24.7229	1.73171	0	6973
8036	lowinput_P100	Chromosome	18	NC_060190.1	14.6627	29.1016	1.98473	0	12551
8036	lowinput_P100	Chromosome	19	NC_060191.1	13.2742	11.0614	0.833299	0	3696
8036	lowinput_P100	Chromosome	20	NC_060192.1	13.1397	9.54695	0.726575	0	828
8036	lowinput_P100	Chromosome	21	NC_060193.1	13.3931	14.6307	1.0924	0	3011
8036	lowinput_P100	Chromosome	22	NC_060194.1	13.8768	17.1806	1.23808	0	3416
8036	lowinput_P100	Chromosome	23	NC_060195.1	13.3779	26.3739	1.97145	0	11988
8036	lowinput_P100	Chromosome	24	NC_060196.1	13.5891	11.3967	0.838668	0	2134
8036	lowinput_P100	Chromosome	25	NC_060197.1	13.8727	19.3555	1.39522	0	3360
8036	lowinput_P100	Chromosome	26	NC_060198.1	14.9654	24.0582	1.60759	0	3662
8036	lowinput_P100	Chromosome	27	NC_060199.1	14.1797	26.5091	1.86951	0	2532
