Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8036	lowinput	Genome-wide	NA	Genome-wide	13.2943	24.1244	1.81465	0	10285
8036	lowinput	Chromosome	1	NC_060173.1	14.4448	11.5385	0.798803	0	2721
8036	lowinput	Chromosome	2	NC_060174.1	14.5321	13.4868	0.928071	0	4985
8036	lowinput	Chromosome	3	NC_060175.1	15.0204	25.0846	1.67004	0	9104
8036	lowinput	Chromosome	4	NC_060176.1	14.8278	15.7889	1.06482	0	2661
8036	lowinput	Chromosome	5	NC_060177.1	13.965	17.9405	1.28468	0	3665
8036	lowinput	Chromosome	6	NC_060178.1	13.9408	10.7853	0.773645	0	2147
8036	lowinput	Chromosome	7	NC_060179.1	13.8485	27.8894	2.0139	0	6807
8036	lowinput	Chromosome	8	NC_060180.1	14.436	17.7728	1.23114	0	6733
8036	lowinput	Chromosome	9	NC_060181.1	13.7765	36.0953	2.62007	0	9922
8036	lowinput	Chromosome	10	NC_060182.1	13.7661	23.1556	1.68208	0	7523
8036	lowinput	Chromosome	11	NC_060183.1	14.1027	18.6029	1.3191	0	2156
8036	lowinput	Chromosome	12	NC_060184.1	13.7352	15.9899	1.16415	0	4173
8036	lowinput	Chromosome	13	NC_060185.1	12.9957	11.1512	0.858065	0	1265
8036	lowinput	Chromosome	14	NC_060186.1	13.5657	20.5256	1.51305	0	10285
8036	lowinput	Chromosome	15	NC_060187.1	13.8841	18.0445	1.29965	0	3419
8036	lowinput	Chromosome	16	NC_060188.1	14.5726	21.012	1.44188	0	4669
8036	lowinput	Chromosome	17	NC_060189.1	14.4482	26.7641	1.85241	0	7408
8036	lowinput	Chromosome	18	NC_060190.1	14.8417	29.7472	2.0043	0	6209
8036	lowinput	Chromosome	19	NC_060191.1	13.0894	11.4052	0.871328	0	2938
8036	lowinput	Chromosome	20	NC_060192.1	13.0833	10.3878	0.793971	0	1900
8036	lowinput	Chromosome	21	NC_060193.1	13.2863	17.0705	1.28482	0	3620
8036	lowinput	Chromosome	22	NC_060194.1	14.0595	21.7802	1.54915	0	7601
8036	lowinput	Chromosome	23	NC_060195.1	13.1476	27.3409	2.07953	0	7639
8036	lowinput	Chromosome	24	NC_060196.1	13.5326	12.7184	0.939833	0	2015
8036	lowinput	Chromosome	25	NC_060197.1	13.6593	20.5157	1.50196	0	4380
8036	lowinput	Chromosome	26	NC_060198.1	15.2578	27.5106	1.80305	0	4732
8036	lowinput	Chromosome	27	NC_060199.1	14.3308	32.5675	2.27256	0	3396
