Sample	Method	Level	chr_number	chromosome	Mean_depth	SD_depth	CV_depth	Min_depth	Max_depth
8168	normalinput	Genome-wide	NA	Genome-wide	13.3397	26.5019	1.98669	0	14601
8168	normalinput	Chromosome	1	NC_060173.1	14.5644	12.3426	0.847448	0	1314
8168	normalinput	Chromosome	2	NC_060174.1	14.6776	14.349	0.977616	0	5074
8168	normalinput	Chromosome	3	NC_060175.1	14.9942	25.0288	1.66923	0	10628
8168	normalinput	Chromosome	4	NC_060176.1	14.9368	17.3625	1.1624	0	3174
8168	normalinput	Chromosome	5	NC_060177.1	14.0037	13.2663	0.94734	0	5970
8168	normalinput	Chromosome	6	NC_060178.1	14.0287	11.6477	0.830278	0	1801
8168	normalinput	Chromosome	7	NC_060179.1	13.811	29.0037	2.10005	0	6481
8168	normalinput	Chromosome	8	NC_060180.1	14.3133	20.5346	1.43465	0	7302
8168	normalinput	Chromosome	9	NC_060181.1	13.9711	49.9994	3.57877	0	14601
8168	normalinput	Chromosome	10	NC_060182.1	13.5171	17.5039	1.29494	0	6801
8168	normalinput	Chromosome	11	NC_060183.1	13.975	20.3476	1.456	0	4214
8168	normalinput	Chromosome	12	NC_060184.1	13.6795	18.8237	1.37605	0	4671
8168	normalinput	Chromosome	13	NC_060185.1	13.1812	11.8884	0.901925	0	1724
8168	normalinput	Chromosome	14	NC_060186.1	13.4896	18.0643	1.33913	0	8492
8168	normalinput	Chromosome	15	NC_060187.1	13.681	17.0832	1.24869	0	2727
8168	normalinput	Chromosome	16	NC_060188.1	14.5206	21.7016	1.49454	0	5203
8168	normalinput	Chromosome	17	NC_060189.1	13.9907	18.379	1.31366	0	4728
8168	normalinput	Chromosome	18	NC_060190.1	14.8276	30.0293	2.02523	0	5231
8168	normalinput	Chromosome	19	NC_060191.1	13.005	12.2158	0.939321	0	4033
8168	normalinput	Chromosome	20	NC_060192.1	13.0261	10.0758	0.77351	0	1455
8168	normalinput	Chromosome	21	NC_060193.1	13.1642	17.3228	1.31591	0	3455
8168	normalinput	Chromosome	22	NC_060194.1	14.111	29.5059	2.09098	0	11404
8168	normalinput	Chromosome	23	NC_060195.1	13.1467	30.5806	2.3261	0	11562
8168	normalinput	Chromosome	24	NC_060196.1	13.3537	12.2951	0.920729	0	1502
8168	normalinput	Chromosome	25	NC_060197.1	13.4714	19.2422	1.42838	0	2780
8168	normalinput	Chromosome	26	NC_060198.1	15.0188	32.1308	2.13936	0	5901
8168	normalinput	Chromosome	27	NC_060199.1	16.1497	21.5573	1.33484	0	1095
