# This file was produced by samtools stats (1.22.1+htslib-1.22.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats /scratch/project_2019524/pinksalmon_alignments/lowinput_P100/8038.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	d055b6c3	b2a46a97	982fd9f4
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	360191782	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	360191782
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	180095891
SN	last fragments:	180095891
SN	reads mapped:	360059547
SN	reads mapped and paired:	360015010	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	132235
SN	reads properly paired:	355426200	# proper-pair bit set
SN	reads paired:	360191782	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	83475640	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	1492907
SN	total length:	36019178200	# ignores clipping
SN	total first fragment length:	18009589100	# ignores clipping
SN	total last fragment length:	18009589100	# ignores clipping
SN	bases mapped:	36005954700	# ignores clipping
SN	bases mapped (cigar):	35857256786	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	207970601	# from NM fields
SN	error rate:	5.799959e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.7
SN	insert size average:	187.5
SN	insert size standard deviation:	70.4
SN	inward oriented pairs:	174648408
SN	outward oriented pairs:	3597783
SN	pairs with other orientation:	84582
SN	pairs on different chromosomes:	1676732
SN	percentage of properly paired reads (%):	98.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	83	0	0	1	0	1	0	71554	137365	152767	115861	154309	160810	203058	275562	198646	368914	277601	477154	394495	598402	602174	674012	941041	902559	987619	1564515	1376842	1529570	2028893	2256700	2845073	3296984	4390460	6486975	9213231	23832072	67790195	45778125	11683	585	0
FFQ	2	15	0	0	1	0	0	1	88130	165868	181041	128371	179960	177754	225369	301165	206173	391256	282959	488795	393706	602160	594099	662658	928261	874271	969727	1514923	1347947	1512372	1985088	2229919	2840921	3302566	4480199	6736333	9643709	24921857	67862730	43860149	14268	1170	0
FFQ	3	45	0	0	2	0	0	1	67273	125436	140086	108968	139468	151201	183912	246065	186753	327653	260411	422565	360722	534965	543974	604288	845492	830423	900798	1417017	1287364	1462127	1898941	2144437	2762836	3201646	4365824	6610218	9540220	24682433	68667001	45059849	13953	1524	0
FFQ	4	4	0	0	2	0	2	1	70494	133116	148499	112402	147411	158173	193454	259295	194464	343614	271727	439454	375269	553286	563518	621533	865888	855672	913483	1438862	1300373	1483915	1910260	2152562	2772225	3196735	4337584	6564733	9461075	24501347	68415293	45326031	12850	1285	0
FFQ	5	6	0	0	2	0	3	2	73045	136614	152104	112905	151999	160642	194904	263433	194443	348388	272630	443354	379409	558222	567626	629511	872728	867334	921919	1453796	1312381	1503123	1934601	2187436	2824807	3259377	4419545	6705390	9651848	24897411	68648034	43983105	12541	1273	0
FFQ	6	6	1	0	0	0	1	1	71508	133495	147995	111305	147737	156155	191591	257319	191995	340132	268889	435178	374162	550647	559583	620649	863626	863065	916551	1452687	1315908	1508608	1945026	2203958	2848404	3292533	4476408	6799119	9782941	25174750	68805050	43275176	12428	1304	0
FFQ	7	107208	0	0	1	0	1	1	71280	133587	147458	110296	146366	155589	190653	255830	189634	337447	266381	429684	371165	542582	553687	614036	853857	857008	903631	1429789	1297943	1491158	1919501	2174614	2808909	3251599	4410064	6717422	9679063	24963146	68775933	43925671	12423	1274	0
FFQ	8	22	1	0	3	0	1	3	68663	129275	143550	108614	143259	153930	187556	250766	189808	333588	265987	428525	369350	544697	556120	617422	861345	858354	915649	1452909	1317313	1511944	1954705	2212498	2861200	3316460	4510056	6840421	9848008	25281501	68723801	43124507	12748	1332	0
FFQ	9	38	0	0	3	0	0	3	71445	134761	148742	111802	147301	157032	190954	255480	192244	336601	268967	432325	372647	546000	557909	616665	857299	859335	911094	1441756	1311789	1500003	1935559	2191230	2831386	3273567	4452841	6758811	9735207	25053322	68705501	43722580	12520	1172	0
FFQ	10	2	0	0	1	0	3	0	72632	135239	151101	111920	150002	158396	195130	261911	193056	347437	270648	443825	379490	560529	568594	632923	881993	877027	933416	1480090	1337894	1532354	1982153	2238805	2892735	3345806	4541211	6886426	9883052	25330152	68670677	42635795	12328	1138	0
