chromosome	window_start	window_end	mean_depth
NC_010959.1	1	100000	776.374
NC_060173.1	1	100000	7.8083
NC_060173.1	100001	200000	15.2524
NC_060173.1	200001	300000	7.79504
NC_060173.1	300001	400000	15.881
NC_060173.1	400001	500000	14.8196
NC_060173.1	500001	600000	14.7024
NC_060173.1	600001	700000	17.1033
NC_060173.1	700001	800000	14.7124
NC_060173.1	800001	900000	14.3113
NC_060173.1	900001	1000000	13.1601
NC_060173.1	1000001	1100000	9.31636
NC_060173.1	1100001	1200000	10.4103
NC_060173.1	1200001	1300000	13.7498
NC_060173.1	1300001	1400000	13.009
NC_060173.1	1400001	1500000	11.4495
NC_060173.1	1500001	1600000	14.429
NC_060173.1	1600001	1700000	9.17115
NC_060173.1	1700001	1800000	13.1961
NC_060173.1	1800001	1900000	15.8445
NC_060173.1	1900001	2000000	12.2858
NC_060173.1	2000001	2100000	9.39824
NC_060173.1	2100001	2200000	11.9846
NC_060173.1	2200001	2300000	12.159
NC_060173.1	2300001	2400000	14.4165
NC_060173.1	2400001	2500000	6.92345
NC_060173.1	2500001	2600000	3.98588
NC_060173.1	2600001	2700000	5.99541
NC_060173.1	2700001	2800000	9.8349
NC_060173.1	2800001	2900000	8.23566
NC_060173.1	2900001	3000000	14.3928
NC_060173.1	3000001	3100000	14.2309
NC_060173.1	3100001	3200000	13.7942
NC_060173.1	3200001	3300000	10.0157
NC_060173.1	3300001	3400000	12.4289
NC_060173.1	3400001	3500000	13.449
NC_060173.1	3500001	3600000	9.67953
NC_060173.1	3600001	3700000	11.1456
NC_060173.1	3700001	3800000	9.30039
NC_060173.1	3800001	3900000	8.75416
NC_060173.1	3900001	4000000	14.9523
NC_060173.1	4000001	4100000	12.0881
NC_060173.1	4100001	4200000	9.48004
NC_060173.1	4200001	4300000	2.4083
NC_060173.1	4300001	4400000	13.1271
NC_060173.1	4400001	4500000	10.6393
NC_060173.1	4500001	4600000	13.0363
NC_060173.1	4600001	4700000	11.663
NC_060173.1	4700001	4800000	12.3057
NC_060173.1	4800001	4900000	8.74202
NC_060173.1	4900001	5000000	13.2461
NC_060173.1	5000001	5100000	11.7801
NC_060173.1	5100001	5200000	11.6824
NC_060173.1	5200001	5300000	10.9951
NC_060173.1	5300001	5400000	14.0659
NC_060173.1	5400001	5500000	12.4029
NC_060173.1	5500001	5600000	10.3066
NC_060173.1	5600001	5700000	14.7545
NC_060173.1	5700001	5800000	14.0445
NC_060173.1	5800001	5900000	10.5312
NC_060173.1	5900001	6000000	16.5112
NC_060173.1	6000001	6100000	14.0895
NC_060173.1	6100001	6200000	12.1757
NC_060173.1	6200001	6300000	14.2767
NC_060173.1	6300001	6400000	12.7426
NC_060173.1	6400001	6500000	13.7522
NC_060173.1	6500001	6600000	7.48645
NC_060173.1	6600001	6700000	10.4674
NC_060173.1	6700001	6800000	11.8642
NC_060173.1	6800001	6900000	8.9648
NC_060173.1	6900001	7000000	11.9631
NC_060173.1	7000001	7100000	14.2716
NC_060173.1	7100001	7200000	8.73248
NC_060173.1	7200001	7300000	6.44848
NC_060173.1	7300001	7400000	11.5604
NC_060173.1	7400001	7500000	10.7887
NC_060173.1	7500001	7600000	8.78153
NC_060173.1	7600001	7700000	11.1513
NC_060173.1	7700001	7800000	12.0249
NC_060173.1	7800001	7900000	9.86481
NC_060173.1	7900001	8000000	10.8882
NC_060173.1	8000001	8100000	12.5271
NC_060173.1	8100001	8200000	13.4408
NC_060173.1	8200001	8300000	11.4733
NC_060173.1	8300001	8400000	9.38274
NC_060173.1	8400001	8500000	11.3638
NC_060173.1	8500001	8600000	14.1384
NC_060173.1	8600001	8700000	13.578
NC_060173.1	8700001	8800000	9.95264
NC_060173.1	8800001	8900000	14.5767
NC_060173.1	8900001	9000000	12.4611
NC_060173.1	9000001	9100000	12.3432
NC_060173.1	9100001	9200000	14.0151
NC_060173.1	9200001	9300000	15.0218
NC_060173.1	9300001	9400000	12.5967
NC_060173.1	9400001	9500000	12.4668
NC_060173.1	9500001	9600000	12.8779
NC_060173.1	9600001	9700000	10.1369
NC_060173.1	9700001	9800000	11.5485
NC_060173.1	9800001	9900000	11.116
NC_060173.1	9900001	10000000	14.6309
NC_060173.1	10000001	10100000	10.016
NC_060173.1	10100001	10200000	11.938
NC_060173.1	10200001	10300000	11.2658
NC_060173.1	10300001	10400000	13.7847
NC_060173.1	10400001	10500000	14.3988
NC_060173.1	10500001	10600000	15.8128
NC_060173.1	10600001	10700000	11.1212
NC_060173.1	10700001	10800000	15.8374
NC_060173.1	10800001	10900000	15.8104
NC_060173.1	10900001	11000000	13.8183
NC_060173.1	11000001	11100000	11.8647
NC_060173.1	11100001	11200000	14.1367
NC_060173.1	11200001	11300000	11.2741
NC_060173.1	11300001	11400000	11.8536
NC_060173.1	11400001	11500000	14.1962
NC_060173.1	11500001	11600000	11.1274
NC_060173.1	11600001	11700000	11.2072
NC_060173.1	11700001	11800000	11.8657
NC_060173.1	11800001	11900000	6.85966
NC_060173.1	11900001	12000000	15.2176
NC_060173.1	12000001	12100000	14.1676
NC_060173.1	12100001	12200000	14.5395
NC_060173.1	12200001	12300000	14.7012
NC_060173.1	12300001	12400000	13.5167
NC_060173.1	12400001	12500000	6.18962
NC_060173.1	12500001	12600000	4.96413
NC_060173.1	12600001	12700000	11.3737
NC_060173.1	12700001	12800000	14.8952
NC_060173.1	12800001	12900000	13.9149
NC_060173.1	12900001	13000000	13.7962
NC_060173.1	13000001	13100000	14.6543
NC_060173.1	13100001	13200000	13.2311
NC_060173.1	13200001	13300000	15.4009
NC_060173.1	13300001	13400000	15.9611
NC_060173.1	13400001	13500000	14.5169
NC_060173.1	13500001	13600000	15.0859
NC_060173.1	13600001	13700000	13.1358
NC_060173.1	13700001	13800000	15.0141
NC_060173.1	13800001	13900000	14.1593
NC_060173.1	13900001	14000000	14.0585
NC_060173.1	14000001	14100000	16.5135
NC_060173.1	14100001	14200000	13.6868
NC_060173.1	14200001	14300000	15.7944
NC_060173.1	14300001	14400000	15.8687
NC_060173.1	14400001	14500000	14.4615
NC_060173.1	14500001	14600000	12.1688
NC_060173.1	14600001	14700000	11.6417
NC_060173.1	14700001	14800000	16.4565
NC_060173.1	14800001	14900000	14.7508
NC_060173.1	14900001	15000000	14.5467
NC_060173.1	15000001	15100000	13.0512
NC_060173.1	15100001	15200000	15.7875
NC_060173.1	15200001	15300000	10.8755
NC_060173.1	15300001	15400000	17.0947
NC_060173.1	15400001	15500000	15.1972
