chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	49135756	18.9988	61.3375	19.6637
2	NC_060174.1	43276126	19.8706	58.1691	21.9603
3	NC_060175.1	44121206	20.9288	58.5874	20.4839
4	NC_060176.1	32602196	17.2487	59.9252	22.8261
5	NC_060177.1	41777077	21.5959	57.8225	20.5816
6	NC_060178.1	43968683	20.4682	60.5339	18.9979
7	NC_060179.1	38117127	21.5494	57.3144	21.1362
8	NC_060180.1	30054195	16.8598	60.4866	22.6536
9	NC_060181.1	44081404	21.5639	58.5665	19.8696
10	NC_060182.1	42242485	20.5184	58.9504	20.5312
11	NC_060183.1	36028671	21.4816	58.7975	19.7209
12	NC_060184.1	35528530	21.5432	57.2873	21.1695
13	NC_060185.1	45596382	21.1332	58.7283	20.1385
14	NC_060186.1	38609498	18.8711	60.478	20.6509
15	NC_060187.1	33304050	21.4192	60.054	18.5268
16	NC_060188.1	39579774	18.1006	59.1827	22.7168
17	NC_060189.1	21824367	22.7138	62.3341	14.9521
18	NC_060190.1	34141813	18.4747	58.246	23.2793
19	NC_060191.1	34371215	17.3716	59.4849	23.1435
20	NC_060192.1	19512843	12.9863	63.39	23.6237
21	NC_060193.1	27289632	22.7629	60.8578	16.3793
22	NC_060194.1	21815021	13.9457	63.3152	22.7391
23	NC_060195.1	33294143	19.9746	62.2075	17.8179
24	NC_060196.1	28346362	15.3891	61.7214	22.8895
25	NC_060197.1	21624311	14.1868	61.9093	23.9039
26	NC_060198.1	16798391	16.9836	65.5445	17.472
27	NC_060199.1	1628832	23.1916	64.169	12.6394
