chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	7860337	29.3741	41.752	28.8739
2	NC_060174.1	6762491	28.8684	33.4217	37.7099
3	NC_060175.1	7571231	28.7666	39.7067	31.5267
4	NC_060176.1	5996961	25.0403	42.5533	32.4064
5	NC_060177.1	8815589	35.6371	35.6352	28.7277
6	NC_060178.1	7013226	34.2459	44.0596	21.6945
7	NC_060179.1	7565228	29.9028	39.6409	30.4563
8	NC_060180.1	5377085	25.7947	40.1615	34.0438
9	NC_060181.1	9401597	29.4376	45.6522	24.9103
10	NC_060182.1	9058315	28.4114	43.5559	28.0327
11	NC_060183.1	7174276	31.5516	42.8002	25.6482
12	NC_060184.1	7034753	29.3629	40.527	30.11
13	NC_060185.1	10284678	27.0689	48.5546	24.3766
14	NC_060186.1	8593762	28.3108	43.4067	28.2825
15	NC_060187.1	7402634	28.1204	45.455	26.4246
16	NC_060188.1	7503860	28.7872	35.4184	35.7944
17	NC_060189.1	4131281	34.3705	47.5334	18.0961
18	NC_060190.1	6912046	27.234	37.671	35.095
19	NC_060191.1	8154718	20.7428	50.1561	29.1012
20	NC_060192.1	4322245	10.2017	53.9288	35.8695
21	NC_060193.1	6076272	36.8587	42.6598	20.4815
22	NC_060194.1	4312964	7.71929	58.6754	33.6053
23	NC_060195.1	8296056	22.2987	49.959	27.7424
24	NC_060196.1	6474158	21.9276	47.2977	30.7747
25	NC_060197.1	5256651	14.9109	51.8706	33.2185
26	NC_060198.1	3346494	30.5624	46.3941	23.0435
27	NC_060199.1	391307	73.5226	21.6485	4.82895
