chr_number	chromosome	total_not_covered	first_15_percent	middle_70_percent	last_15_percent
1	NC_060173.1	5169087	29.1287	42.3972	28.4741
2	NC_060174.1	4717817	28.3823	35.902	35.7157
3	NC_060175.1	5007537	29.0647	40.6901	30.2452
4	NC_060176.1	3953864	23.0466	44.159	32.7943
5	NC_060177.1	5850759	35.8673	35.1122	29.0206
6	NC_060178.1	4709075	33.492	45.4252	21.0827
7	NC_060179.1	4832860	28.7074	40.3703	30.9223
8	NC_060180.1	3637854	25.0205	40.8002	34.1793
9	NC_060181.1	5796901	28.8306	45.2424	25.927
10	NC_060182.1	5761392	28.1626	43.2598	28.5776
11	NC_060183.1	4694723	31.6135	41.9629	26.4236
12	NC_060184.1	4589555	29.2646	40.2476	30.4878
13	NC_060185.1	6480878	27.9164	46.643	25.4405
14	NC_060186.1	5584528	28.7117	42.5674	28.7208
15	NC_060187.1	4666955	29.3238	46.5263	24.1499
16	NC_060188.1	4880884	27.3585	37.7957	34.8458
17	NC_060189.1	2743691	35.5087	46.1473	18.344
18	NC_060190.1	4592632	27.3912	36.574	36.0348
19	NC_060191.1	4896903	19.2974	49.8001	30.9025
20	NC_060192.1	2826591	10.4257	52.9576	36.6167
21	NC_060193.1	3784521	36.9253	44.3889	18.6858
22	NC_060194.1	2879882	9.74811	57.4407	32.8112
23	NC_060195.1	5152757	23.4394	48.4785	28.0821
24	NC_060196.1	4091923	22.8437	46.382	30.7743
25	NC_060197.1	3385611	14.3758	52.3779	33.2463
26	NC_060198.1	2246263	28.9425	49.3985	21.659
27	NC_060199.1	301768	74.4632	21.8708	3.66606
