chr_number,chromosome,total_not_covered,first_15_percent,middle_70_percent,last_15_percent,Method
1,NC_060173.1,8611712,28.8787,41.0631,30.0581,lowinput
2,NC_060174.1,7366505,28.1917,33.2211,38.5873,lowinput
3,NC_060175.1,8397632,28.3635,40.1244,31.5121,lowinput
4,NC_060176.1,6558746,25.6857,42.6962,31.6181,lowinput
5,NC_060177.1,9564493,35.4158,35.9353,28.6489,lowinput
6,NC_060178.1,7560429,34.7919,44.3197,20.8884,lowinput
7,NC_060179.1,8069242,30.2058,40.5528,29.2414,lowinput
8,NC_060180.1,5772189,26.6013,39.3718,34.0269,lowinput
9,NC_060181.1,10226987,29.9114,45.73,24.3586,lowinput
10,NC_060182.1,9912144,28.5556,43.4846,27.9598,lowinput
11,NC_060183.1,7776592,31.23,42.3401,26.4299,lowinput
12,NC_060184.1,7617739,30.6766,39.604,29.7193,lowinput
13,NC_060185.1,10978558,27.6455,48.5612,23.7933,lowinput
14,NC_060186.1,9087625,29.103,41.5588,29.3382,lowinput
15,NC_060187.1,7661637,27.0766,46.4839,26.4396,lowinput
16,NC_060188.1,8267683,27.4828,35.5424,36.9748,lowinput
17,NC_060189.1,4579025,33.9244,48.2829,17.7927,lowinput
18,NC_060190.1,7321653,26.3482,38.4153,35.2364,lowinput
19,NC_060191.1,9059826,19.9266,50.7327,29.3407,lowinput
20,NC_060192.1,4681465,10.187,53.7325,36.0805,lowinput
21,NC_060193.1,6705958,37.3894,41.6333,20.9773,lowinput
22,NC_060194.1,4690207,7.29983,58.8829,33.8173,lowinput
23,NC_060195.1,8935819,23.1636,49.9504,26.886,lowinput
24,NC_060196.1,7151497,21.7409,47.0318,31.2273,lowinput
25,NC_060197.1,5644137,14.7395,51.5092,33.7513,lowinput
26,NC_060198.1,3450254,30.609,46.2183,23.1727,lowinput
27,NC_060199.1,225964,46.6132,44.885,8.5018,lowinput
1,NC_060173.1,4844954,30.5601,36.7181,32.7218,lowinput_P100
2,NC_060174.1,4380545,29.5964,29.8885,40.5152,lowinput_P100
3,NC_060175.1,4847344,30.7474,36.6549,32.5978,lowinput_P100
4,NC_060176.1,3724162,26.2562,38.7754,34.9683,lowinput_P100
5,NC_060177.1,5848984,38.9418,30.6735,30.3847,lowinput_P100
6,NC_060178.1,4479011,37.4368,40.2256,22.3376,lowinput_P100
7,NC_060179.1,4528439,30.3815,38.6632,30.9553,lowinput_P100
8,NC_060180.1,3532651,27.0545,34.9631,37.9824,lowinput_P100
