Sample	Chromosome	Total_bases	Mean_depth	Percent_5x	Percent_8x	Percent_10x	Percent_12x	Percent_15x
8036	NC_010959.1	16785	616.7606	100.0000	99.9940	99.9940	99.9940	99.9940
8036	NC_060173.1	121242117	14.4448	86.0209	78.0317	70.5937	61.6107	46.5918
8036	NC_060174.1	112602575	14.5321	86.8067	78.8650	71.4096	62.3890	47.1990
8036	NC_060175.1	109001000	15.0204	85.2817	77.2780	69.9405	61.1563	46.5090
8036	NC_060176.1	86901846	14.8278	85.4593	77.5684	70.2953	61.5499	46.8678
8036	NC_060177.1	97899794	13.9650	81.7582	73.1988	65.7572	57.1472	43.2291
8036	NC_060178.1	107529014	13.9408	85.4117	76.9235	69.2236	60.0499	44.8957
8036	NC_060179.1	89516582	13.8485	82.5360	73.9838	66.4121	57.5427	43.0311
8036	NC_060180.1	79710677	14.4360	85.3082	77.2958	69.9865	61.2210	46.4974
8036	NC_060181.1	100203093	13.7765	80.8089	72.0755	64.5736	55.9154	41.8536
8036	NC_060182.1	101020560	13.7661	81.6472	73.1494	65.7035	57.0558	42.9166
8036	NC_060183.1	88157483	14.1027	82.7160	74.1132	66.5996	57.8276	43.5261
8036	NC_060184.1	86172198	13.7352	82.8030	74.2710	66.7783	57.9735	43.4928
8036	NC_060185.1	102694786	12.9957	79.7896	70.8509	63.2567	54.5767	40.6432
8036	NC_060186.1	84819153	13.5657	79.8475	71.2007	63.8424	55.3631	41.6809
8036	NC_060187.1	85609528	13.8841	82.4491	74.2196	66.9551	58.4440	44.3005
8036	NC_060188.1	100482852	14.5726	83.9789	75.7441	68.4111	59.8110	45.6483
8036	NC_060189.1	59070424	14.4482	84.5613	76.3122	68.9148	60.1224	45.4432
8036	NC_060190.1	83923786	14.8417	83.0712	74.9286	67.7260	59.2478	45.1971
8036	NC_060191.1	80794599	13.0894	79.6677	70.8553	63.4665	55.0014	41.3515
8036	NC_060192.1	45742288	13.0833	80.8984	72.1956	64.6027	55.8087	41.5611
8036	NC_060193.1	60884844	13.2863	80.1832	71.5063	64.0784	55.4883	41.6095
8036	NC_060194.1	52623370	14.0595	82.8262	74.5657	67.2210	58.5838	44.3224
8036	NC_060195.1	72202100	13.1476	77.9917	69.1037	61.6845	53.2590	39.7946
8036	NC_060196.1	66433064	13.5326	80.4048	71.8157	64.4800	56.0828	42.5079
8036	NC_060197.1	51769365	13.6593	79.8810	71.2222	63.8097	55.2929	41.5375
8036	NC_060198.1	44229230	15.2578	84.0922	76.1893	69.1740	60.9022	47.1589
8036	NC_060199.1	3279969	14.3308	79.5997	71.5381	64.2408	55.5416	41.4460
8036	NW_025744369.1	100000	14.7439	94.3450	85.9380	77.2180	67.2650	49.9530
8036	NW_025744370.1	50000	9.5483	52.6480	46.6920	41.9360	37.0020	29.3260
8036	NW_025744371.1	250000	14.0789	80.9796	73.0216	65.7040	57.6488	44.3304
8036	NW_025744372.1	400000	13.5507	86.7615	77.9625	69.6112	59.4645	43.5015
8036	NW_025744373.1	11770	2.2386	11.8437	6.7545	6.1172	5.0382	3.0161
8036	NW_025744374.1	11766	6.6766	38.1268	24.8683	20.3383	17.1426	13.8195
8036	NW_025744375.1	11758	1.5279	12.9274	4.9838	2.3558	2.1943	1.2842
8036	NW_025744376.1	11714	11.0157	69.0712	59.9112	53.6537	46.4231	34.8557
8036	NW_025744377.1	11704	4.9395	33.3732	24.1712	20.7878	16.2594	11.3038
8036	NW_025744378.1	11684	2.4083	17.8364	9.9195	7.0781	5.2550	3.4920
8036	NW_025744379.1	11682	5.5413	46.4646	32.7769	22.9242	15.1002	8.8084
8036	NW_025744380.1	11680	2.1399	15.6250	10.0000	7.5428	6.2243	3.6815
8036	NW_025744381.1	11677	5.1300	36.6875	23.2423	18.9775	15.9544	10.4222
8036	NW_025744382.1	11657	0.7823	5.4731	2.9510	1.4069	0.1287	0.0000
8036	NW_025744383.1	11584	0.0951	0.9410	0.0000	0.0000	0.0000	0.0000
8036	NW_025744384.1	11582	3.3315	20.3246	13.2792	10.9826	9.4457	8.1506
8036	NW_025744385.1	11567	6.6990	47.8344	33.5610	28.6418	24.1290	16.5384
8036	NW_025744386.1	11552	3.5991	29.9169	21.2431	12.3269	7.2195	4.7438
8036	NW_025744387.1	11517	11.1308	73.9776	65.9460	57.7234	49.6657	32.3088
8036	NW_025744388.1	11448	3.2239	28.8085	15.4525	10.1066	5.2935	1.8606
8036	NW_025744389.1	11443	6.6334	50.0743	37.9533	30.3941	22.9310	14.6028
8036	NW_025744390.1	11423	3.7289	30.6312	23.1725	18.2351	12.5974	4.5872
8036	NW_025744391.1	11407	5.2138	49.6976	28.6841	17.2175	10.3358	5.0320
8036	NW_025744392.1	11389	4.3017	33.6289	22.6359	16.1120	12.8984	8.0692
8036	NW_025744393.1	11375	1.1422	4.9758	0.5978	0.0000	0.0000	0.0000
8036	NW_025744394.1	11354	7.1717	40.3558	31.6981	25.5945	19.3412	12.9470
8036	NW_025744395.1	11351	3.3971	29.1164	18.6768	13.2059	7.7879	4.1230
8036	NW_025744396.1	550000	14.1430	90.5340	81.6853	73.3456	63.0349	46.1271
8036	NW_025744397.1	100000	15.3834	95.3140	87.1860	78.8840	68.5240	50.2040
8036	NW_025744398.1	11254	1.0109	8.4059	3.6609	2.6035	1.6705	0.4532
8036	NW_025744399.1	11177	2.2534	13.5457	6.4239	4.0888	3.3283	2.3083
8036	NW_025744400.1	11141	2.8851	25.9043	15.2949	9.5772	4.8739	2.0106
8036	NW_025744401.1	11140	1.1794	7.5314	5.7181	4.2819	2.9174	0.7720
8036	NW_025744402.1	11120	8.5958	67.6259	47.5899	36.8076	26.2590	16.5018
8036	NW_025744403.1	11111	9.4632	59.9316	47.6735	35.9734	27.3333	18.7742
8036	NW_025744404.1	11079	5.0841	28.4863	22.0146	18.2688	15.6422	12.7539
8036	NW_025744405.1	11076	7.5669	49.3499	35.4821	29.5143	25.2799	16.7118
8036	NW_025744406.1	11074	1.5176	8.1271	6.1315	4.7770	4.2893	3.6301
8036	NW_025744407.1	11056	2.1698	17.3571	8.1042	4.2782	3.3104	2.2884
8036	NW_025744408.1	11045	1.5742	12.9289	3.7392	2.6981	1.4124	0.9778
8036	NW_025744409.1	11044	7.6707	73.7142	44.1326	30.0525	18.1818	7.6784
8036	NW_025744410.1	11032	1.0783	9.7988	4.2422	2.2389	1.3959	0.0000
8036	NW_025744411.1	11019	6.9390	47.1095	36.6639	29.8394	23.7227	14.4387
8036	NW_025744412.1	11019	3.5177	22.0619	16.3989	12.1971	9.6742	7.3237
8036	NW_025744413.1	10942	6.7828	40.2029	35.2861	29.2086	25.0137	18.4061
8036	NW_025744414.1	10941	6.5655	38.7625	28.5623	23.1880	18.0879	11.9642
8036	NW_025744415.1	10937	2.1534	19.7952	9.3627	3.2550	1.2069	0.0640
8036	NW_025744416.1	10917	0.6223	4.4335	1.0809	0.5588	0.0000	0.0000
8036	NW_025744417.1	10882	2.4393	22.6245	10.9447	6.6256	3.0969	1.2681
8036	NW_025744418.1	10881	11.0982	45.4921	31.2471	25.5399	22.3693	16.1107
8036	NW_025744419.1	10875	8.2723	65.1126	43.5586	34.1517	25.6552	16.1379
8036	NW_025744420.1	10856	4.4306	36.9934	25.5987	18.5427	12.1592	7.0376
8036	NW_025744421.1	10834	9.4739	54.1351	39.6437	33.6902	28.6782	22.1709
8036	NW_025744422.1	10832	10.0858	75.9970	62.4446	50.5724	40.8881	26.7541
8036	NW_025744423.1	10786	3.4235	23.2616	17.8009	14.9175	11.2553	5.2475
8036	NW_025744424.1	10779	1.1782	6.8188	4.1933	3.2934	2.0410	1.3545
8036	NW_025744425.1	10777	3.3223	19.1426	16.3589	13.7979	12.1370	8.0913
8036	NW_025744426.1	10768	4.9655	33.7574	26.1423	21.8053	18.7407	14.3388
8036	NW_025744427.1	10758	4.2050	32.0227	23.0433	19.1671	13.6178	7.7059
8036	NW_025744428.1	100000	12.0441	77.6040	70.1040	63.1400	53.3070	38.4860
8036	NW_025744429.1	50752	15.1776	95.7736	88.4182	80.8756	69.3253	51.2118
8036	NW_025744430.1	40000	13.8612	89.4700	81.1550	73.5475	63.0300	45.2650
8036	NW_025744431.1	10753	6.5414	55.8263	32.9489	24.0677	16.8325	11.0295
8036	NW_025744432.1	10752	14.0851	84.3099	77.8460	70.6938	62.0908	47.8609
8036	NW_025744433.1	10744	16.3032	86.0853	80.8358	74.6091	65.6273	51.1169
8036	NW_025744434.1	213673	14.5304	91.6068	84.2062	76.3597	66.3561	49.3052
8036	NW_025744435.1	10739	6.8748	46.1682	28.5129	21.9108	17.1152	13.0273
8036	NW_025744436.1	10734	5.5449	24.1569	19.0982	17.0393	13.4712	11.1515
8036	NW_025744437.1	10734	0.2725	1.9191	0.2795	0.0000	0.0000	0.0000
8036	NW_025744438.1	10685	1.3083	10.2012	3.8559	2.6205	1.4506	0.2714
8036	NW_025744439.1	10653	9.0918	63.6910	47.1041	39.5194	33.3709	21.5902
8036	NW_025744440.1	10628	4.4659	34.7290	24.8306	17.0587	11.9684	8.1953
8036	NW_025744441.1	10619	8.5842	53.4608	43.5917	35.7943	28.1665	19.4557
8036	NW_025744442.1	10580	3.7786	32.8261	20.7940	15.5198	8.9603	2.5236
8036	NW_025744443.1	10579	6.8705	49.2107	36.6386	28.3108	23.1969	16.0412
8036	NW_025744444.1	10557	6.2598	42.6542	28.4740	22.0328	17.1734	12.3520
8036	NW_025744445.1	10535	4.3415	37.7124	25.2207	16.5449	12.1310	6.7394
8036	NW_025744446.1	10534	1.6461	11.4676	6.4838	4.0725	2.3828	0.3323
8036	NW_025744447.1	10525	4.6010	39.7530	31.1924	22.7933	15.2969	4.3040
8036	NW_025744448.1	10516	3.7903	33.4918	18.9806	14.3876	10.2320	3.8418
8036	NW_025744449.1	10510	6.6655	40.6089	32.1123	26.1370	22.5500	18.2017
8036	NW_025744450.1	10493	1.8437	15.8677	8.1959	5.6323	3.4785	0.8958
8036	NW_025744451.1	10485	7.7394	52.9900	37.8636	30.3386	24.5970	15.8035
8036	NW_025744452.1	10454	3.7126	31.3277	18.3279	12.8372	6.5334	2.5540
8036	NW_025744453.1	10408	3.9718	36.1068	19.7060	13.7971	8.8105	3.0361
8036	NW_025744454.1	10386	0.9369	9.1566	4.0343	0.6355	0.1637	0.0000
8036	NW_025744455.1	10359	5.8312	40.9596	32.0784	24.2688	19.7220	13.0128
8036	NW_025744456.1	10349	2.5089	17.7602	10.3971	6.7639	3.6042	1.7779
8036	NW_025744457.1	10345	1.4676	12.0251	6.0126	3.6829	2.5326	0.6767
8036	NW_025744458.1	10332	11.6476	81.9590	65.7085	54.4135	40.0697	27.0809
8036	NW_025744459.1	100000	15.3774	95.6560	89.7660	81.7000	70.3880	51.7570
8036	NW_025744460.1	100000	14.4092	77.4670	68.3710	60.8870	54.0780	42.3470
8036	NW_025744461.1	100000	12.0212	77.2540	69.3220	62.1900	53.1570	38.6640
8036	NW_025744462.1	10319	0.9716	7.9659	3.2852	1.7250	0.9691	0.4361
8036	NW_025744463.1	10303	2.7153	21.9839	13.5980	9.9680	6.5903	3.1932
8036	NW_025744464.1	10280	10.2368	64.5233	52.1790	44.5428	36.8872	27.7335
8036	NW_025744465.1	10268	10.9124	78.1554	63.6443	54.4507	44.0787	30.4149
8036	NW_025744466.1	10249	8.7942	63.3818	42.7359	30.1103	20.0995	12.8793
8036	NW_025744467.1	10240	1.2719	12.6855	4.8438	3.2812	2.3438	0.6934
8036	NW_025744468.1	10240	3.1527	24.5410	17.5781	13.5938	10.4492	5.5078
8036	NW_025744469.1	10226	3.1401	24.7409	15.9202	11.1481	7.8232	4.7330
8036	NW_025744470.1	10219	0.9082	6.9283	4.3546	3.6794	1.6636	0.5284
