Sample	Chromosome	Total_bases	Mean_depth	Percent_5x	Percent_8x	Percent_10x	Percent_12x	Percent_15x
8036	NC_010959.1	16785	710.7847	100.0000	100.0000	100.0000	100.0000	99.9940
8036	NC_060173.1	121242117	13.7805	87.3790	79.5158	70.9454	60.8923	40.7561
8036	NC_060174.1	112602575	13.7962	87.6899	79.9418	71.3972	61.3556	41.0591
8036	NC_060175.1	109001000	14.3618	86.7949	78.8840	70.3931	60.4961	40.7279
8036	NC_060176.1	86901846	14.2168	87.0152	79.2378	70.8392	60.9684	41.2081
8036	NC_060177.1	97899794	13.5643	84.1484	75.4683	66.8919	57.2079	38.6691
8036	NC_060178.1	107529014	13.6573	87.0931	79.0313	70.3784	60.3086	40.2108
8036	NC_060179.1	89516582	13.8818	85.3826	77.2433	68.6896	58.8554	39.3714
8036	NC_060180.1	79710677	14.2266	87.2198	79.6338	71.4215	61.6950	41.8522
8036	NC_060181.1	100203093	13.7709	84.2934	75.7551	67.1493	57.3759	38.4382
8036	NC_060182.1	101020560	13.7634	84.7246	76.4636	67.9618	58.2240	39.0429
8036	NC_060183.1	88157483	14.0402	85.3591	77.0871	68.5789	58.8164	39.6083
8036	NC_060184.1	86172198	13.9525	85.5000	77.4800	69.0283	59.2350	39.7806
8036	NC_060185.1	102694786	13.1881	83.4804	74.9354	66.3499	56.6353	37.8819
8036	NC_060186.1	84819153	13.6869	83.3104	74.8255	66.4168	56.9267	38.6025
8036	NC_060187.1	85609528	13.8752	85.5151	77.6208	69.2792	59.6046	40.2976
8036	NC_060188.1	100482852	14.4201	86.5695	78.6421	70.3320	60.6854	41.6749
8036	NC_060189.1	59070424	14.2766	86.7676	79.0469	70.6411	60.8185	41.0002
8036	NC_060190.1	83923786	14.6627	85.6928	77.8425	69.6071	60.0316	41.0022
8036	NC_060191.1	80794599	13.2742	83.6803	75.1111	66.5341	56.8837	38.2651
8036	NC_060192.1	45742288	13.1397	83.9321	75.5834	67.0038	57.2424	38.1330
8036	NC_060193.1	60884844	13.3931	83.7200	75.2528	66.7050	57.0541	38.4461
8036	NC_060194.1	52623370	13.8768	85.3813	77.2841	68.8645	59.1567	39.8506
8036	NC_060195.1	72202100	13.3779	82.2009	73.4432	64.9244	55.4005	37.3081
8036	NC_060196.1	66433064	13.5891	83.9234	75.6056	67.2316	57.7356	39.3217
8036	NC_060197.1	51769365	13.8727	83.4844	75.2510	66.8098	57.2100	38.5544
8036	NC_060198.1	44229230	14.9654	86.5987	78.8628	70.7169	61.3062	42.7442
8036	NC_060199.1	3279969	14.1797	81.6774	73.9133	65.8295	56.4926	37.8678
8036	NW_025744369.1	100000	14.2381	93.7560	86.4140	77.0270	66.3060	43.6370
8036	NW_025744370.1	50000	9.3086	62.9400	52.3000	44.4600	36.2900	22.8400
8036	NW_025744371.1	250000	14.8354	84.9320	78.9100	72.0064	63.3160	43.7888
8036	NW_025744372.1	400000	13.4851	88.8845	81.2712	71.9790	61.1497	39.6730
8036	NW_025744373.1	11770	5.6912	43.7128	29.7706	21.0875	16.8054	11.3509
8036	NW_025744374.1	11766	9.0061	60.4114	41.0760	29.7892	23.8739	17.1596
8036	NW_025744375.1	11758	2.8780	23.5499	10.9627	6.7528	4.9073	3.2914
8036	NW_025744376.1	11714	9.9685	72.0761	56.9831	47.0890	39.5339	26.9763
8036	NW_025744377.1	11704	7.8316	57.7666	40.2427	31.1945	23.5133	15.7126
8036	NW_025744378.1	11684	3.8447	31.5902	20.1643	13.6426	7.8055	5.7343
8036	NW_025744379.1	11682	7.9860	66.3328	48.4249	34.3178	23.9171	13.3710
8036	NW_025744380.1	11680	3.4593	26.7723	16.5497	11.3527	7.8596	6.6695
8036	NW_025744381.1	11677	7.6793	57.4034	39.3851	31.5064	24.0045	15.9544
8036	NW_025744382.1	11657	1.6635	12.7305	5.9707	2.9167	1.6128	0.3689
8036	NW_025744383.1	11584	0.4847	2.5121	0.8805	0.8460	0.7251	0.1899
8036	NW_025744384.1	11582	5.2834	39.7341	28.6220	20.8513	16.3098	9.5752
8036	NW_025744385.1	11567	7.3765	63.1106	42.3360	30.8118	20.0916	12.0948
8036	NW_025744386.1	11552	6.0122	46.9875	31.2846	23.7535	17.9363	10.8726
8036	NW_025744387.1	11517	12.4587	79.7777	72.5363	63.2370	53.9550	36.4418
8036	NW_025744388.1	11448	5.1753	40.0332	25.4979	21.5147	15.5136	9.5737
8036	NW_025744389.1	11443	6.9461	57.1616	39.6924	29.2318	21.3406	12.7764
8036	NW_025744390.1	11423	5.0284	44.8043	28.5477	20.3362	12.2385	6.7670
8036	NW_025744391.1	11407	6.1424	57.0176	34.2071	22.8544	14.3070	4.7427
8036	NW_025744392.1	11389	4.3262	38.5284	18.9042	11.9852	8.3238	4.3639
8036	NW_025744393.1	11375	2.3905	17.7582	7.2352	3.7275	1.6440	0.1670
8036	NW_025744394.1	11354	8.9656	57.5832	43.9405	35.7231	28.0254	20.0722
8036	NW_025744395.1	11351	4.2676	37.3800	23.9362	16.7915	11.7963	4.8278
8036	NW_025744396.1	550000	14.1747	91.8345	84.4807	75.7820	64.9773	42.6791
8036	NW_025744397.1	100000	15.0045	94.8510	88.3880	79.9150	69.4480	45.8820
8036	NW_025744398.1	11254	1.9571	17.4249	6.3355	4.5673	3.4210	1.3595
8036	NW_025744399.1	11177	2.7414	19.4328	9.2064	7.6496	6.7281	5.5113
8036	NW_025744400.1	11141	2.9567	24.5310	13.7151	8.5989	4.9367	2.1542
8036	NW_025744401.1	11140	2.2040	21.7056	10.2962	6.1670	4.0575	1.1490
8036	NW_025744402.1	11120	8.8895	69.6763	51.8255	40.3777	30.5576	19.7662
8036	NW_025744403.1	11111	9.5788	67.5997	50.2295	38.1694	29.3133	20.0792
8036	NW_025744404.1	11079	6.8255	48.5784	36.8986	29.4882	24.5329	17.7543
8036	NW_025744405.1	11076	9.2359	67.6056	50.4605	39.5630	32.7284	22.2012
8036	NW_025744406.1	11074	4.0889	37.0237	18.5299	10.9807	7.1699	4.2081
8036	NW_025744407.1	11056	4.6757	37.3734	23.3900	17.7551	13.1965	7.8962
8036	NW_025744408.1	11045	4.2993	30.3124	20.8511	16.7587	12.6483	6.8357
8036	NW_025744409.1	11044	7.9161	72.9355	51.6480	35.8475	23.0623	8.9551
8036	NW_025744410.1	11032	1.7573	14.7752	7.6777	4.0428	3.1091	1.3778
8036	NW_025744411.1	11019	7.9877	63.5539	47.5724	36.8999	28.0062	17.6513
8036	NW_025744412.1	11019	5.3030	38.8238	26.0641	22.2434	18.4863	11.7615
8036	NW_025744413.1	10942	6.3510	42.6704	31.6121	27.7006	22.3816	16.2859
8036	NW_025744414.1	10941	9.4171	60.0768	42.3727	33.4887	26.2407	21.0310
8036	NW_025744415.1	10937	4.1908	40.2304	21.9530	11.4017	5.7603	1.9475
8036	NW_025744416.1	10917	4.0428	32.9578	21.8100	16.0117	12.6134	7.6211
8036	NW_025744417.1	10882	3.8852	38.5407	17.7725	8.9598	4.5856	1.6265
8036	NW_025744418.1	10881	10.7476	63.4501	46.2182	37.8182	31.1920	24.0695
8036	NW_025744419.1	10875	9.4295	79.0253	57.7747	42.5379	29.4069	17.7379
8036	NW_025744420.1	10856	5.3332	52.6069	30.5177	17.4650	10.3998	4.0531
8036	NW_025744421.1	10834	12.6563	74.5616	61.7408	53.9228	45.4034	33.7272
8036	NW_025744422.1	10832	9.8186	79.7637	65.4727	50.9140	39.3925	20.6795
8036	NW_025744423.1	10786	6.6269	47.9325	37.9288	29.8257	24.8656	17.6062
8036	NW_025744424.1	10779	2.6557	23.0541	9.1010	5.1303	2.9223	1.8369
8036	NW_025744425.1	10777	4.5671	27.9484	21.6201	17.8343	15.1898	11.1905
8036	NW_025744426.1	10768	5.7319	42.4220	32.0765	25.4643	20.7559	13.4101
8036	NW_025744427.1	10758	5.6911	42.0524	33.4542	27.1891	22.0208	14.5380
8036	NW_025744428.1	100000	12.4618	81.4030	73.8380	66.2130	56.6700	37.1340
8036	NW_025744429.1	50752	14.6955	94.7608	88.3867	79.9752	69.5953	46.0829
8036	NW_025744430.1	40000	13.5068	91.3150	83.9450	75.4750	63.7975	39.8525
8036	NW_025744431.1	10753	6.9849	59.0254	32.8094	23.5469	16.9720	10.9179
8036	NW_025744432.1	10752	13.8066	87.7697	81.6499	73.8653	63.9230	42.8664
8036	NW_025744433.1	10744	12.9173	83.1534	69.6482	59.2238	49.2461	34.0934
8036	NW_025744434.1	213673	14.0927	91.4538	84.5175	75.8350	65.3433	42.9965
8036	NW_025744435.1	10739	7.9845	64.0469	43.1325	31.6044	24.2388	15.4670
8036	NW_025744436.1	10734	4.7110	27.8368	20.5515	17.1511	15.1854	12.9122
8036	NW_025744437.1	10734	1.8171	13.7228	4.3320	2.2545	1.6676	0.7267
8036	NW_025744438.1	10685	3.7550	31.5676	19.3449	11.8203	7.0473	3.6781
8036	NW_025744439.1	10653	9.6245	75.9974	55.6651	43.2179	30.4703	18.8867
8036	NW_025744440.1	10628	5.1240	42.4163	24.2002	17.4633	12.7588	8.3741
8036	NW_025744441.1	10619	9.1143	54.1482	41.9343	35.1257	29.0611	20.3974
8036	NW_025744442.1	10580	5.0749	44.1493	26.3705	18.9698	12.9962	5.7940
8036	NW_025744443.1	10579	7.5947	59.0509	41.2421	31.2317	24.2840	15.1999
8036	NW_025744444.1	10557	11.8944	71.9333	59.3445	50.4784	43.5540	33.1249
8036	NW_025744445.1	10535	4.2166	40.8828	21.6421	13.2795	7.2805	2.9521
8036	NW_025744446.1	10534	2.3007	18.8722	10.3095	4.6991	1.5948	0.8829
8036	NW_025744447.1	10525	5.6388	48.3800	30.8979	21.3682	15.0689	9.6817
8036	NW_025744448.1	10516	5.1840	49.1442	31.4283	19.6272	11.2971	2.7862
8036	NW_025744449.1	10510	9.6976	53.2921	44.2341	38.9534	33.5395	27.4786
8036	NW_025744450.1	10493	2.6670	21.7860	12.2939	8.5104	6.2994	3.1450
8036	NW_025744451.1	10485	8.7323	60.2289	46.1516	37.3391	28.0114	19.4278
8036	NW_025744452.1	10454	4.1125	34.9914	18.7871	11.3832	8.4752	5.3951
8036	NW_025744453.1	10408	5.0651	50.3843	28.6895	15.4016	8.1956	3.0457
8036	NW_025744454.1	10386	3.0040	18.5442	9.3876	6.8939	4.6120	3.6780
8036	NW_025744455.1	10359	6.3808	57.3028	35.4861	24.2108	15.2621	8.5047
8036	NW_025744456.1	10349	3.5807	34.7860	14.0110	6.2711	3.4689	1.5847
8036	NW_025744457.1	10345	3.1406	28.6129	16.9841	10.7878	5.4036	2.1170
8036	NW_025744458.1	10332	12.1397	87.1661	73.4708	60.1045	47.0867	31.4750
8036	NW_025744459.1	100000	14.4949	92.7600	86.8940	79.0340	69.6290	46.0350
8036	NW_025744460.1	100000	14.3486	80.5790	73.2480	65.8720	56.8630	39.8990
8036	NW_025744461.1	100000	12.2753	84.5030	75.7150	65.8540	55.1490	34.1560
8036	NW_025744462.1	10319	3.4076	26.7855	18.0831	12.4334	9.4001	5.2912
8036	NW_025744463.1	10303	3.0451	28.2830	15.3353	8.8906	5.2024	2.5915
8036	NW_025744464.1	10280	10.7409	71.6342	61.2354	52.0428	42.0817	26.3424
8036	NW_025744465.1	10268	9.7222	82.5575	60.0117	44.2929	35.4110	21.0557
8036	NW_025744466.1	10249	12.8844	77.2466	59.9473	49.1560	38.9306	28.8809
8036	NW_025744467.1	10240	4.4693	24.8242	18.7891	15.5762	13.6426	12.1484
8036	NW_025744468.1	10240	4.7272	36.3379	23.1445	16.9434	13.9453	9.8535
8036	NW_025744469.1	10226	4.5655	39.2235	22.5112	16.8394	11.4805	5.6523
8036	NW_025744470.1	10219	2.8046	13.8663	7.4665	5.2549	2.8672	2.3779
8036	NW_025744471.1	10212	8.0405	53.8190	36.1829	26.5472	18.6839	12.2307
8036	NW_025744472.1	10207	6.6053	46.9090	33.6044	26.2663	18.8106	12.6874
8036	NW_025744473.1	10187	7.8763	61.6570	50.9178	40.3455	30.5487	16.2756
8036	NW_025744474.1	10163	5.8771	53.6653	36.4656	24.2743	15.9205	7.1239
8036	NW_025744475.1	10145	4.1014	34.0562	21.7546	14.6082	10.5076	6.4367
8036	NW_025744476.1	10137	5.2033	43.7408	33.6490	26.5562	17.9639	8.1286
8036	NW_025744477.1	10122	9.2452	72.7722	54.9397	42.6793	32.4145	19.9467
8036	NW_025744478.1	10113	7.8105	54.6524	33.7684	26.9356	21.1609	13.7743
8036	NW_025744479.1	10103	9.0661	61.1699	48.4114	38.5925	30.9413	23.3594
8036	NW_025744480.1	10101	12.5585	84.4867	68.5576	57.8161	46.8666	33.6600
8036	NW_025744481.1	203637	12.8978	83.6631	75.7151	67.1410	57.7262	38.6447
8036	NW_025744482.1	10032	7.9269	66.0586	45.5443	32.7153	22.7372	13.3672
8036	NW_025744483.1	10030	3.0088	28.3051	12.4526	7.6670	3.1107	1.1266
8036	NW_025744484.1	10020	7.3403	61.0479	36.3872	24.3114	18.5030	12.1956
8036	NW_025744485.1	9960	8.9076	60.5221	50.6426	43.5643	36.8474	24.3173
8036	NW_025744486.1	9959	9.4817	75.7405	54.4231	36.4193	24.1088	13.6761
8036	NW_025744487.1	9936	7.9533	59.7524	42.6228	30.3442	22.3531	13.5064
8036	NW_025744488.1	9935	4.7986	32.8837	22.7378	18.7318	15.1787	11.9376
8036	NW_025744489.1	9905	9.7681	71.9233	56.6179	46.5422	37.3448	24.7552
8036	NW_025744490.1	9879	5.8888	49.0131	29.6285	19.6072	14.2018	9.1406
8036	NW_025744491.1	9870	5.9188	51.9656	35.8055	25.9372	15.8865	5.9777
8036	NW_025744492.1	9845	8.1230	57.5216	39.8375	33.9157	26.9782	21.2087
8036	NW_025744493.1	9793	6.8345	52.8541	39.5589	31.6961	23.2717	14.2755
8036	NW_025744494.1	9763	4.9721	37.8060	24.1217	14.2169	7.9381	4.3020
8036	NW_025744495.1	9752	5.0292	40.1354	28.0045	21.2367	15.1046	8.7367
8036	NW_025744496.1	9718	5.3142	35.5629	24.5627	18.3988	16.0733	11.0105
8036	NW_025744497.1	9705	7.3935	66.1721	47.1097	36.4348	24.5544	9.6445
8036	NW_025744498.1	9697	5.5932	54.0786	30.6280	20.0577	12.8390	4.7747
8036	NW_025744499.1	9679	5.2845	43.6615	29.5588	21.0559	15.7041	11.5714
8036	NW_025744500.1	9672	5.9998	47.7357	32.2684	23.9971	16.9768	8.5711
8036	NW_025744501.1	9661	8.7286	40.8860	24.0141	16.3958	13.9323	9.1709
8036	NW_025744502.1	9599	4.1282	33.1285	23.6379	14.4494	8.6363	6.4903
8036	NW_025744503.1	9548	8.4991	72.3607	56.1060	40.6787	26.6129	11.1437
8036	NW_025744504.1	9546	8.0972	66.4048	43.5261	34.5695	24.5757	17.3685
8036	NW_025744505.1	9526	9.1720	57.7577	41.6859	33.7602	27.8396	23.0527
8036	NW_025744506.1	9522	14.8970	74.0811	64.6923	58.3806	51.4178	40.1701
8036	NW_025744507.1	192862	7.4632	56.1655	38.5628	28.9803	21.4454	13.5392
8036	NW_025744508.1	9471	10.9006	71.2174	60.3738	55.2740	49.7941	34.0408
8036	NW_025744509.1	9468	5.9818	56.7385	38.5192	22.2222	12.4947	2.8834
8036	NW_025744510.1	9465	4.7849	27.3534	20.2113	16.4606	14.3793	10.1109
8036	NW_025744511.1	9460	2.9531	23.9006	12.5793	8.1078	5.2960	2.7273
8036	NW_025744512.1	9456	4.2645	38.4835	21.5630	12.5529	7.2864	3.0034
8036	NW_025744513.1	9436	6.9557	54.8114	37.4629	28.3171	21.0682	12.0284
8036	NW_025744514.1	9430	4.9566	44.1782	26.5005	18.3139	11.3150	3.7116
8036	NW_025744515.1	9430	2.4827	20.6893	9.5970	4.9629	2.8632	1.3256
8036	NW_025744516.1	9426	7.8139	57.6278	42.2873	34.3624	27.5939	17.2289
8036	NW_025744517.1	9417	7.7511	63.7570	47.2231	38.4199	27.1105	13.8898
8036	NW_025744518.1	9390	4.2572	31.9063	22.4281	19.5314	16.1448	10.3301
8036	NW_025744519.1	9376	7.8623	58.9804	47.9735	36.8174	28.8183	16.9262
8036	NW_025744520.1	9370	7.3090	39.1249	31.3874	28.2070	26.1366	20.9925
8036	NW_025744521.1	9315	4.8574	43.4246	23.8969	14.5250	10.5314	4.8094
8036	NW_025744522.1	9300	7.9763	40.0538	30.9032	24.1505	18.8280	12.8602
8036	NW_025744523.1	9296	2.9365	29.3782	12.5323	7.1213	4.8838	1.2156
8036	NW_025744524.1	9278	3.0803	25.5120	15.0571	10.5195	7.6741	4.1388
8036	NW_025744525.1	9246	7.2250	52.2929	38.5140	29.2883	23.3831	14.8929
8036	NW_025744526.1	188184	7.9794	55.2741	38.8907	30.0940	23.2342	15.3711
8036	NW_025744527.1	9218	7.5489	70.1345	46.7563	33.2176	21.6750	9.6442
8036	NW_025744528.1	9208	6.9272	53.4535	38.7163	30.2346	24.8588	15.8666
8036	NW_025744529.1	9185	3.2135	27.1530	17.4524	11.8236	7.8715	4.1807
8036	NW_025744530.1	9168	5.5483	55.7155	31.8499	19.6335	9.7404	3.7195
8036	NW_025744531.1	250000	12.9348	84.2064	76.7160	67.6248	56.9176	36.8856
8036	NW_025744532.1	250000	14.2794	91.4916	84.5960	76.3920	66.3564	44.7212
8036	NW_025744533.1	9107	4.2353	35.8186	22.4882	16.0755	10.4974	6.0942
8036	NW_025744534.1	9100	8.8680	52.1978	45.3407	41.3626	34.9231	26.5824
8036	NW_025744535.1	9057	7.9609	63.2329	52.7437	42.4975	31.5667	18.7921
8036	NW_025744536.1	9044	12.3795	80.6944	66.1544	54.5997	42.3927	24.9668
8036	NW_025744537.1	9039	8.9771	69.3440	51.1893	38.7100	29.5829	18.3206
8036	NW_025744538.1	9028	5.8590	58.6952	30.4829	18.3540	11.5973	5.1063
8036	NW_025744539.1	9014	6.8891	46.9825	28.6110	23.8407	19.8247	15.7755
8036	NW_025744540.1	9010	14.8659	56.2708	49.6892	43.8513	40.1665	36.0821
8036	NW_025744541.1	8931	3.9598	32.4488	18.1727	10.8163	8.8008	4.8707
8036	NW_025744542.1	8923	5.1998	36.8038	24.2631	19.5674	15.9588	11.2630
8036	NW_025744543.1	8909	4.3218	40.9474	24.2115	10.6858	4.2653	2.1439
8036	NW_025744544.1	8907	7.6301	69.1030	44.7176	32.1769	19.0075	6.8261
8036	NW_025744545.1	8819	7.8359	41.1158	33.0877	27.3160	22.5422	18.1200
8036	NW_025744546.1	8819	10.0734	68.7493	52.7724	45.5947	36.6481	28.1098
8036	NW_025744547.1	180245	14.6632	87.8599	80.1087	71.3906	61.4325	41.3371
8036	NW_025744548.1	8804	5.7204	42.8896	28.4189	20.2862	14.7319	9.6547
8036	NW_025744549.1	8788	7.5546	44.0487	39.2695	34.7292	29.7792	23.1111
8036	NW_025744550.1	8755	8.0829	53.0097	43.4837	34.6431	30.6568	23.0497
8036	NW_025744551.1	8749	3.7688	28.9290	12.5843	8.7439	6.3664	3.4633
8036	NW_025744552.1	8697	2.6906	25.8020	13.2000	8.1752	3.9439	1.4833
8036	NW_025744553.1	8689	8.1231	64.8866	41.9151	31.4881	22.5342	12.7978
8036	NW_025744554.1	8653	6.3286	64.9023	34.6469	19.2188	10.2277	3.2474
8036	NW_025744555.1	8641	10.6564	74.7251	62.6779	51.1283	38.4793	26.6520
8036	NW_025744556.1	8624	3.9673	37.8942	20.5357	11.1897	6.2384	2.8873
8036	NW_025744557.1	8562	5.3203	32.7844	18.2084	12.7423	10.4064	6.7508
8036	NW_025744558.1	176603	7.8227	59.0573	40.0157	30.6088	22.8558	15.1826
8036	NW_025744559.1	8559	4.0422	37.7264	21.7432	11.7888	6.5078	2.8859
8036	NW_025744560.1	8548	6.5929	50.7253	37.5292	28.4043	21.6074	14.5180
8036	NW_025744561.1	8511	9.1401	77.4527	58.7593	44.8126	33.1688	15.9206
8036	NW_025744562.1	8506	5.5932	54.2323	25.3703	16.4590	11.9798	6.9128
8036	NW_025744563.1	8496	6.9888	61.8173	40.9958	27.7778	17.3964	8.6158
8036	NW_025744564.1	8493	3.8927	37.8665	16.1427	9.9729	6.3464	2.2254
8036	NW_025744565.1	8489	6.6164	59.3356	35.8699	26.1633	19.1189	10.5313
8036	NW_025744566.1	8440	7.1287	50.5213	34.2299	26.2796	18.4953	12.0379
8036	NW_025744567.1	125000	11.3520	78.4400	66.9720	57.1952	46.6464	30.4384
8036	NW_025744568.1	325000	12.7189	83.5329	75.6305	66.7668	56.5766	36.6243
8036	NW_025744569.1	8426	6.3545	44.6713	30.0142	25.2789	20.8640	15.1555
8036	NW_025744570.1	8412	3.6358	28.5069	21.1365	15.8821	13.1598	5.9914
