Sample	Chromosome	Total_bases	Mean_depth	Percent_5x	Percent_8x	Percent_10x	Percent_12x	Percent_15x
8167	NC_010959.1	16785	477.4245	100.0000	99.9940	99.9940	99.9940	99.9940
8167	NC_060173.1	121242117	14.4688	86.3752	78.7835	71.4150	62.2021	46.4644
8167	NC_060174.1	112602575	14.6088	87.2328	79.7807	72.4718	63.2677	47.3632
8167	NC_060175.1	109001000	15.0717	85.6384	78.0888	70.8916	61.9509	46.6425
8167	NC_060176.1	86901846	14.9029	85.7919	78.4533	71.3851	62.5533	47.2778
8167	NC_060177.1	97899794	13.9576	82.0644	73.9590	66.6888	57.9692	43.4197
8167	NC_060178.1	107529014	13.8662	85.7671	77.6710	69.9943	60.6091	44.7165
8167	NC_060179.1	89516582	13.7981	82.8997	74.7359	67.2624	58.2004	42.9786
8167	NC_060180.1	79710677	14.4171	85.7865	78.2388	71.0827	62.1657	46.7569
8167	NC_060181.1	100203093	13.8017	81.1167	72.8014	65.4342	56.6521	42.0093
8167	NC_060182.1	101020560	13.7637	82.1290	74.1363	66.9358	58.1827	43.4107
8167	NC_060183.1	88157483	14.1097	83.1806	75.0873	67.7873	58.9268	43.9829
8167	NC_060184.1	86172198	13.6794	83.1555	75.1071	67.7196	58.7573	43.6064
8167	NC_060185.1	102694786	12.9583	80.1752	71.7290	64.2735	55.3960	40.7302
8167	NC_060186.1	84819153	13.5098	80.1988	71.9593	64.7346	56.1501	41.8688
8167	NC_060187.1	85609528	13.9969	83.0044	75.4457	68.5103	59.9831	45.3738
8167	NC_060188.1	100482852	14.6628	84.5646	76.8705	69.8176	61.1953	46.4435
8167	NC_060189.1	59070424	14.5799	85.2049	77.5720	70.4500	61.6720	46.4965
8167	NC_060190.1	83923786	14.8512	83.5039	75.8324	68.8184	60.2505	45.5872
8167	NC_060191.1	80794599	13.1392	80.1475	71.8844	64.7174	56.2458	42.1118
8167	NC_060192.1	45742288	13.0521	81.3784	73.1067	65.6562	56.7044	41.8037
8167	NC_060193.1	60884844	13.2717	80.6344	72.4606	65.1801	56.4678	41.9612
8167	NC_060194.1	52623370	14.1283	83.4604	75.7220	68.6126	59.9435	45.0429
8167	NC_060195.1	72202100	13.0707	78.3025	69.7867	62.4539	53.8454	39.6933
8167	NC_060196.1	66433064	13.5605	80.8068	72.7307	65.6716	57.2315	43.1430
8167	NC_060197.1	51769365	13.6837	80.3146	72.1542	64.9839	56.4104	42.1339
8167	NC_060198.1	44229230	15.5067	84.6765	77.5433	70.9619	62.8398	48.7569
8167	NC_060199.1	3279969	14.1825	80.1659	72.1895	64.8234	55.7067	40.6555
8167	NW_025744369.1	100000	15.2212	95.8540	89.5590	81.7480	71.7950	53.5080
8167	NW_025744370.1	50000	9.9849	51.3980	46.3240	42.5920	38.4020	30.7860
8167	NW_025744371.1	250000	13.1085	80.5252	73.0568	65.5760	56.2888	41.0952
